10:16:21.586 [restartedMain] INFO  c.n.ecommerce.EcommerceApplication - Starting EcommerceApplication using Java 21.0.2 with PID 14092 (C:\Users\lalup\OneDrive\Desktop\netzwerk\Ecommerce-API\ecommerce\build\classes\java\main started by lalup in C:\Users\lalup\OneDrive\Desktop\netzwerk\Ecommerce-API)
10:16:21.630 [restartedMain] INFO  c.n.ecommerce.EcommerceApplication - The following 1 profile is active: "dev"
10:16:23.973 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
10:16:23.975 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
10:16:28.632 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
10:16:29.220 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 477 ms. Found 2 JPA repository interfaces.
10:16:31.343 [restartedMain] ERROR o.a.c.core.AprLifecycleListener - An incompatible version [1.2.25] of the Apache Tomcat Native library is installed, while Tomcat requires version [1.2.34]
10:16:34.079 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
10:16:34.180 [restartedMain] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
10:16:34.181 [restartedMain] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.20]
10:16:34.632 [restartedMain] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
10:16:34.633 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 10654 ms
10:16:35.619 [restartedMain] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
10:16:36.172 [restartedMain] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.4.4.Final
10:16:36.451 [restartedMain] INFO  o.h.c.i.RegionFactoryInitiator - HHH000026: Second-level cache disabled
10:16:37.815 [restartedMain] INFO  o.s.o.j.p.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
10:16:37.987 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
10:16:40.870 [restartedMain] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection net.ucanaccess.jdbc.UcanaccessConnection@2024396b[C:\Users\lalup\OneDrive\Desktop\netzwerk\net1.accdb]
10:16:40.874 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
10:16:41.109 [restartedMain] WARN  org.hibernate.dialect.Dialect - HHH000511: The 2.7.0 version for [org.hibernate.dialect.SQLServerDialect] is no longer supported, hence certain features may not work properly. The minimum supported version is 11.0.0. Check the community dialects project for available legacy versions.
10:16:41.142 [restartedMain] WARN  org.hibernate.orm.deprecation - HHH90000025: SQLServerDialect does not need to be specified explicitly using 'hibernate.dialect' (remove the property setting and it will be selected by default)
10:16:45.004 [restartedMain] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
10:16:45.011 [restartedMain] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
10:16:46.139 [restartedMain] INFO  o.s.d.j.r.query.QueryEnhancerFactory - Hibernate is in classpath; If applicable, HQL parser will be used.
10:16:47.879 [restartedMain] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
10:16:49.332 [restartedMain] WARN  o.t.templatemode.TemplateMode - [THYMELEAF][restartedMain] Unknown Template Mode 'HTML5'. Must be one of: 'HTML', 'XML', 'TEXT', 'JAVASCRIPT', 'CSS', 'RAW'. Using default Template Mode 'HTML'.
10:16:49.919 [restartedMain] INFO  o.s.b.d.a.OptionalLiveReloadServer - LiveReload server is running on port 35729
10:16:50.130 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path ''
10:16:50.158 [restartedMain] INFO  c.n.ecommerce.EcommerceApplication - Started EcommerceApplication in 36.123 seconds (process running for 41.33)
10:23:15.619 [http-nio-8080-exec-2] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
10:23:15.620 [http-nio-8080-exec-2] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
10:23:15.625 [http-nio-8080-exec-2] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 4 ms
10:23:15.852 [http-nio-8080-exec-2] WARN  o.s.w.s.m.s.DefaultHandlerExceptionResolver - Resolved [org.springframework.web.bind.MissingServletRequestParameterException: Required request parameter 'make' for method parameter type String is not present]
10:24:25.471 [http-nio-8080-exec-7] WARN  o.t.s.p.AbstractStandardFragmentInsertionTagProcessor - [THYMELEAF][http-nio-8080-exec-7][home] Deprecated unwrapped fragment expression "fragments/navbar :: barNav" found in template home, line 18, col 6. Please use the complete syntax of fragment expressions instead ("~{fragments/navbar :: barNav}"). The old, unwrapped syntax for fragment expressions will be removed in future versions of Thymeleaf.
10:24:25.526 [http-nio-8080-exec-7] WARN  o.t.s.p.AbstractStandardFragmentInsertionTagProcessor - [THYMELEAF][http-nio-8080-exec-7][home] Deprecated unwrapped fragment expression "fragments/sidebar :: barSide" found in template home, line 20, col 10. Please use the complete syntax of fragment expressions instead ("~{fragments/sidebar :: barSide}"). The old, unwrapped syntax for fragment expressions will be removed in future versions of Thymeleaf.
10:24:25.562 [http-nio-8080-exec-7] WARN  o.t.s.p.AbstractStandardFragmentInsertionTagProcessor - [THYMELEAF][http-nio-8080-exec-7][home] Deprecated unwrapped fragment expression "fragments/footer :: footerBar" found in template home, line 25, col 6. Please use the complete syntax of fragment expressions instead ("~{fragments/footer :: footerBar}"). The old, unwrapped syntax for fragment expressions will be removed in future versions of Thymeleaf.
10:36:10.376 [restartedMain] INFO  c.n.ecommerce.EcommerceApplication - Starting EcommerceApplication using Java 21.0.2 with PID 1592 (C:\Users\lalup\OneDrive\Desktop\netzwerk\Ecommerce-API\ecommerce\build\classes\java\main started by lalup in C:\Users\lalup\OneDrive\Desktop\netzwerk\Ecommerce-API)
10:36:10.422 [restartedMain] INFO  c.n.ecommerce.EcommerceApplication - The following 1 profile is active: "dev"
10:36:12.166 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
10:36:12.166 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
10:36:15.281 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
10:36:15.398 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 107 ms. Found 2 JPA repository interfaces.
10:36:24.828 [restartedMain] ERROR o.a.c.core.AprLifecycleListener - An incompatible version [1.2.25] of the Apache Tomcat Native library is installed, while Tomcat requires version [1.2.34]
10:36:28.970 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
10:36:29.025 [restartedMain] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
10:36:29.026 [restartedMain] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.20]
10:36:29.268 [restartedMain] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
10:36:29.269 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 17103 ms
10:36:29.825 [restartedMain] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
10:36:30.101 [restartedMain] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.4.4.Final
10:36:30.177 [restartedMain] INFO  o.h.c.i.RegionFactoryInitiator - HHH000026: Second-level cache disabled
10:36:30.930 [restartedMain] INFO  o.s.o.j.p.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
10:36:30.968 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
10:36:35.057 [restartedMain] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection net.ucanaccess.jdbc.UcanaccessConnection@6ba8c381[C:\Users\lalup\OneDrive\Desktop\netzwerk\net1.accdb]
10:36:35.092 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
10:36:35.257 [restartedMain] WARN  org.hibernate.dialect.Dialect - HHH000511: The 2.7.0 version for [org.hibernate.dialect.SQLServerDialect] is no longer supported, hence certain features may not work properly. The minimum supported version is 11.0.0. Check the community dialects project for available legacy versions.
10:36:35.266 [restartedMain] WARN  org.hibernate.orm.deprecation - HHH90000025: SQLServerDialect does not need to be specified explicitly using 'hibernate.dialect' (remove the property setting and it will be selected by default)
10:36:39.385 [restartedMain] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
10:36:39.392 [restartedMain] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
10:36:40.379 [restartedMain] INFO  o.s.d.j.r.query.QueryEnhancerFactory - Hibernate is in classpath; If applicable, HQL parser will be used.
10:36:41.669 [restartedMain] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
10:36:42.860 [restartedMain] WARN  o.t.templatemode.TemplateMode - [THYMELEAF][restartedMain] Unknown Template Mode 'HTML5'. Must be one of: 'HTML', 'XML', 'TEXT', 'JAVASCRIPT', 'CSS', 'RAW'. Using default Template Mode 'HTML'.
10:36:43.433 [restartedMain] INFO  o.s.b.d.a.OptionalLiveReloadServer - LiveReload server is running on port 35729
10:36:43.592 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path ''
10:36:43.604 [restartedMain] INFO  c.n.ecommerce.EcommerceApplication - Started EcommerceApplication in 34.794 seconds (process running for 39.585)
